,Depth,Temp
0,-0.5,26.4788799285888
1,-0.509553571896893,26.4789404358182
2,-0.519107143793787,26.4790009430476
3,-0.528660715690681,26.479061450277
4,-0.538214287587574,26.4791219575064
5,-0.547767859484468,26.4791824647358
6,-0.557321431381361,26.4792429719652
7,-0.566875003278255,26.4793034791946
8,-0.576428575175149,26.479363986424
9,-0.585982147072042,26.4794244936534
10,-0.595535718968936,26.4794850008828
11,-0.60508929086583,26.4795455081122
12,-0.614642862762723,26.4796060153416
13,-0.624196434659617,26.479666522571
14,-0.63375000655651,26.4797270298004
15,-0.643303578453404,26.4797875370298
16,-0.652857150350298,26.4798480442592
17,-0.662410722247191,26.4799085514886
18,-0.671964294144085,26.479969058718
19,-0.681517866040979,26.4800295659473
20,-0.691071437937872,26.4800900731767
21,-0.700625009834766,26.4801505804061
22,-0.71017858173166,26.4802110876355
23,-0.719732153628553,26.4802715948649
24,-0.729285725525447,26.4803321020943
25,-0.738839297422341,26.4803926093237
26,-0.748392869319234,26.4804531165531
27,-0.757946441216128,26.4805136237825
28,-0.767500013113021,26.4805741310119
29,-0.777053585009915,26.4806346382413
30,-0.786607156906809,26.4806951454707
31,-0.796160728803702,26.4807556527001
32,-0.805714300700596,26.4808161599295
33,-0.81526787259749,26.4808766671589
34,-0.824821444494383,26.4809371743883
35,-0.834375016391277,26.4809976816177
36,-0.843928588288171,26.4810581888471
37,-0.853482160185064,26.4811186960765
38,-0.863035732081958,26.4811792033059
39,-0.872589303978851,26.4812397105353
40,-0.882142875875745,26.4813002177647
41,-0.891696447772639,26.4813607249941
42,-0.901250019669532,26.4814212322235
43,-0.910803591566426,26.4814817394529
44,-0.92035716346332,26.4815422466823
45,-0.929910735360213,26.4816027539116
46,-0.939464307257107,26.481663261141
47,-0.949017879154,26.4817237683704
48,-0.958571451050894,26.4817842755998
49,-0.968125022947788,26.4818447828292
50,-0.977678594844681,26.4819052900586
51,-0.987232166741575,26.481965797288
52,-0.996785738638469,26.4820263045174
53,-1.00633931053536,26.4820868117468
54,-1.01589288243225,26.4821473189762
55,-1.02544645432915,26.4822078262056
56,-1.03500002622604,26.482268333435
57,-1.04455359812293,26.4823288406644
58,-1.05410717001983,26.4823893478938
59,-1.06366074191672,26.4824498551232
60,-1.07321431381361,26.4825103623526
61,-1.08276788571051,26.482570869582
62,-1.0923214576074,26.4826313768114
63,-1.10187502950429,26.4826918840408
64,-1.11142860140119,26.4827523912702
65,-1.12098217329808,26.4828128984996
66,-1.13053574519498,26.482873405729
67,-1.14008931709187,26.4829339129584
68,-1.14964288898876,26.4829944201878
69,-1.15919646088566,26.4830549274172
70,-1.16875003278255,26.4831154346466
71,-1.17830360467944,26.483175941876
72,-1.18785717657634,26.4832364491053
73,-1.19741074847323,26.4832969563347
74,-1.20696432037012,26.4833574635641
75,-1.21651789226702,26.4834179707935
76,-1.22607146416391,26.4834784780229
77,-1.23562503606081,26.4835389852523
78,-1.2451786079577,26.4835994924817
79,-1.25473217985459,26.4836599997111
80,-1.26428575175149,26.4837205069405
81,-1.27383932364838,26.4837810141699
82,-1.28339289554527,26.4838415213993
83,-1.29294646744217,26.4839020286287
84,-1.30250003933906,26.4839625358581
85,-1.31205361123595,26.4840230430875
86,-1.32160718313285,26.4840835503169
87,-1.33116075502974,26.4841440575463
88,-1.34071432692664,26.4842045647757
89,-1.35026789882353,26.4842650720051
90,-1.35982147072042,26.4843255792345
91,-1.36937504261732,26.4843860864639
92,-1.37892861451421,26.4844465936933
93,-1.3884821864111,26.4845071009227
94,-1.398035758308,26.4845676081521
95,-1.40758933020489,26.4846281153815
96,-1.41714290210178,26.4846886226109
97,-1.42669647399868,26.4847491298403
98,-1.43625004589557,26.4848096370697
99,-1.44580361779247,26.484870144299
100,-1.45535718968936,26.4849306515284
101,-1.46491076158625,26.4849911587578
102,-1.47446433348315,26.4850516659872
103,-1.48401790538004,26.4851121732166
104,-1.49357147727693,26.485172680446
105,-1.50312504917383,26.4852331876754
106,-1.51267862107072,26.4852936949048
107,-1.52223219296761,26.4853542021342
108,-1.53178576486451,26.4854147093636
109,-1.5413393367614,26.485475216593
110,-1.5508929086583,26.4855357238224
111,-1.56044648055519,26.4855962310518
112,-1.57000005245208,26.4856567382812
113,-1.58089290878602,26.4856888736997
114,-1.59178576511996,26.4857210091182
115,-1.60267862145389,26.4857531445366
116,-1.61357147778783,26.4857852799551
117,-1.62446433412177,26.4858174153736
118,-1.6353571904557,26.4858495507921
119,-1.64625004678964,26.4858816862106
120,-1.65714290312358,26.4859138216291
121,-1.66803575945752,26.4859459570475
122,-1.67892861579145,26.485978092466
123,-1.68982147212539,26.4860102278845
124,-1.70071432845933,26.486042363303
125,-1.71160718479326,26.4860744987215
126,-1.7225000411272,26.48610663414
127,-1.73339289746114,26.4861387695584
128,-1.74428575379507,26.4861709049769
129,-1.75517861012901,26.4862030403954
130,-1.76607146646295,26.4862351758139
131,-1.77696432279688,26.4862673112324
132,-1.78785717913082,26.4862994466509
133,-1.79875003546476,26.4863315820693
134,-1.8096428917987,26.4863637174878
135,-1.82053574813263,26.4863958529063
136,-1.83142860446657,26.4864279883248
137,-1.84232146080051,26.4864601237433
138,-1.85321431713444,26.4864922591618
139,-1.86410717346838,26.4865243945802
140,-1.87500002980232,26.4865565299987
141,-1.88589288613625,26.4865886654172
142,-1.89678574247019,26.4866208008357
143,-1.90767859880413,26.4866529362542
144,-1.91857145513807,26.4866850716727
145,-1.929464311472,26.4867172070911
146,-1.94035716780594,26.4867493425096
147,-1.95125002413988,26.4867814779281
